song_name,artist,deezer_url,year,notes
Black Hole Sun,Soundgarden,https://www.deezer.com/track/78631539,1994,
Spoonman,Soundgarden,https://www.deezer.com/track/78690536,1994,
Last Resort,Papa Roach,https://www.deezer.com/track/6435662,2000,
Pour Some Sugar On Me,Def Leppard,https://www.deezer.com/track/447552822,1987,
In the End,Linkin Park,https://www.deezer.com/track/676183,2000,
Pumped Up Kicks,Foster The People,https://www.deezer.com/track/15546830,2010,
(Don't Fear) The Reaper,Blue Öyster Cult,https://www.deezer.com/track/82692320,1976,
For The Night,Pop Smoke,https://www.deezer.com/track/1009681022,2020,
Dior,Pop Smoke,https://www.deezer.com/track/716516992,2019,
Hello,Pop Smoke,https://www.deezer.com/track/1025944572,2020,
GATTI,Jackboys,https://www.deezer.com/track/841897112,2019,
Welcome To The Party,Pop Smoke,https://www.deezer.com/track/716516952,2019,
Mood Swings,Pop Smoke,https://www.deezer.com/track/1025944402,2020,
NOKIA,Drake,https://www.deezer.com/track/3232025631,2025,
MR RECOUP,21 Savage,https://www.deezer.com/track/3711488162,2025,
One Dance,Drake,https://www.deezer.com/track/124603270,2016,
God's Plan,Drake,https://www.deezer.com/track/533609232,2018,
What Did I Miss?,Drake,https://www.deezer.com/track/3444551431,2025,
Hotline Bling,Drake,https://www.deezer.com/track/124603286,2015,
Passionfruit,Drake,https://www.deezer.com/track/144572210,2017,
Best I Ever Had,Drake,https://www.deezer.com/track/633377802,2009,
Marvins Room,Drake,https://www.deezer.com/track/17347969,2011,
JAPAN,Famous Dex,https://www.deezer.com/track/470815612,2018,
PICK IT UP (feat. A$AP Rocky),Famous Dex,https://www.deezer.com/track/417653842,2017,
Rich Forever Way Outro,Jay Critch,https://www.deezer.com/track/373063851,2017,
Hoes Mad,Famous Dex,https://www.deezer.com/track/1928164757,2015,
Drip From My Walk,Famous Dex,https://www.deezer.com/track/137729547,2015,
Instant Crush (feat. Julian Casablancas),Daft Punk,https://www.deezer.com/track/67238732,2013,
One More Time,Daft Punk,https://www.deezer.com/track/3135553,2001,
Veridis Quo,Daft Punk,https://www.deezer.com/track/3135563,2001,
Get Lucky (feat. Pharrell Williams and Nile Rodgers),Daft Punk,https://www.deezer.com/track/67238735,2013,
"Harder, Better, Faster, Stronger",Daft Punk,https://www.deezer.com/track/3135556,2001,
Around the World,Daft Punk,https://www.deezer.com/track/3129775,1997,
Da Funk,Daft Punk,https://www.deezer.com/track/3129772,1995,
Suavemente,Elvis Crespo,https://www.deezer.com/track/557093,1998,
Livin' la Vida Loca,Ricky Martin,https://www.deezer.com/track/13704591,1999,
P.I.M.P.,50 Cent,https://www.deezer.com/track/145429540,2003,
Without Me,Eminem,https://www.deezer.com/track/916424,2002,
"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,https://www.deezer.com/track/14495442,2011,
Maneater,Nelly Furtado,https://www.deezer.com/track/2430336,2006,
Stronger,Kanye West,https://www.deezer.com/track/630827242,2007,
American Boy,Estelle,https://www.deezer.com/track/1855507607,2007,
Not Like Us,Kendrick Lamar,https://www.deezer.com/track/2783963122,2024,
Candy Shop,50 Cent,https://www.deezer.com/track/145429544,2005,
Can't Tell Me Nothing,Kanye West,https://www.deezer.com/track/630827272,2007,
The Sweet Escape,Gwen Stefani,https://www.deezer.com/track/7553575,2006,
Get Busy,Sean Paul,https://www.deezer.com/track/364292561,2002,
Heartless,Kanye West,https://www.deezer.com/track/130412300,2008,
Save Your Tears,The Weeknd,https://www.deezer.com/track/908604632,2019,
Unwritten,Natasha Bedingfield,https://www.deezer.com/track/1240000812,2004,
Treasure,Bruno Mars,https://www.deezer.com/track/62724017,2012,
Still D.R.E.,Dr. Dre,https://www.deezer.com/track/128743581,1999,
SexyBack (feat. Timbaland),Justin Timberlake,https://www.deezer.com/track/15489383,2006,
Dancing in the Moonlight,Toploader,https://www.deezer.com/track/13139729,2000,
Latch,Disclosure,https://www.deezer.com/track/75526535,2012,
Gangsta's Paradise,Coolio,https://www.deezer.com/track/1584416372,1995,
California Gurls,Katy Perry,https://www.deezer.com/track/17135110,2010,
Lonely,Akon,https://www.deezer.com/track/78869181,2003,
Love Me Again,John Newman,https://www.deezer.com/track/71265201,2013,
Replay,Iyaz,https://www.deezer.com/track/6276158,2009,
Wild Ones (feat. Sia),Flo Rida,https://www.deezer.com/track/15269141,2011,
The Real Slim Shady,Eminem,https://www.deezer.com/track/1109737,2000,
We Are The People,Empire Of The Sun,https://www.deezer.com/track/4286053,2008,
Sundress,A$AP Rocky,https://www.deezer.com/track/587756192,2018,
You Know How We Do It,Ice Cube,https://www.deezer.com/track/98536830,1993,
"All The Stars (From ""Black Panther: The Album"")",Kendrick Lamar,https://www.deezer.com/track/456965032,2018,
Club Can't Handle Me (feat. David Guetta) (From the Step Up 3D Soundtrack),Flo Rida,https://www.deezer.com/track/6489970,2010,
Bound 2,Kanye West,https://www.deezer.com/track/68350113,2013,
Gold Digger,Kanye West,https://www.deezer.com/track/1184309,2005,
Hips Don't Lie (feat. Wyclef Jean),Shakira,https://www.deezer.com/track/3389132901,2006,
Starships,Nicki Minaj,https://www.deezer.com/track/28852751,2012,
Dynamite,Taio Cruz,https://www.deezer.com/track/7063920,2010,
Meet Me Halfway,The Black Eyed Peas,https://www.deezer.com/track/1591240422,2009,
Murder On The Dancefloor,Sophie Ellis-Bextor,https://www.deezer.com/track/4181750,2001,
POWER,Kanye West,https://www.deezer.com/track/7667059,2007,
I Gotta Feeling,The Black Eyed Peas,https://www.deezer.com/track/7706035,2008,
Black and Yellow,Wiz Khalifa,https://www.deezer.com/track/10260075,2010,
Hey Brother,Avicii,https://www.deezer.com/track/70266758,2013,
I Just Might,Bruno Mars,https://www.deezer.com/track/3763842212,2010,
Cake By The Ocean,DNCE,https://www.deezer.com/track/136341758,2015,
Roar,Katy Perry,https://www.deezer.com/track/71645431,2013,
Levitating,Dua Lipa,https://www.deezer.com/track/1124841682,2020,
Ms. Jackson,OutKast,https://www.deezer.com/track/963042,2000,
Trap Queen,Fetty Wap,https://www.deezer.com/track/91934728,2014,
Drop It Like It's Hot,Snoop Dogg,https://www.deezer.com/track/1761305797,2004,
Memories (feat. Kid Cudi),David Guetta,https://www.deezer.com/track/5594020,2010,
Ni**as in Paris,JAY-Z,https://www.deezer.com/track/589730632,2011,
Empire State Of Mind,JAY-Z,https://www.deezer.com/track/90533119,2009,
You Don't Know Me,Jax Jones,https://www.deezer.com/track/137728875,2016,
Walking On A Dream,Empire Of The Sun,https://www.deezer.com/track/4286051,2008,
CARNIVAL,¥$,https://www.deezer.com/track/2932385561,2024,
Hotel Room Service,Pitbull,https://www.deezer.com/track/4097308,2009,
Timeless,The Weeknd,https://www.deezer.com/track/3210598501,2024,
Just Wanna Rock,Lil Uzi Vert,https://www.deezer.com/track/1965920237,2022,
Sexy Bitch (feat. Akon),David Guetta,https://www.deezer.com/track/41594361,2009,
The Thrill,Wiz Khalifa,https://www.deezer.com/track/3629966032,2009,
Starboy,The Weeknd,https://www.deezer.com/track/136889400,2016,
Only Girl (In The World),Rihanna,https://www.deezer.com/track/13529563,2010,
Last Friday Night (T.G.I.F.),Katy Perry,https://www.deezer.com/track/17135109,2011,
"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",A$AP Rocky,https://www.deezer.com/track/100835996,2017,
The Spins,Mac Miller,https://www.deezer.com/track/3596335362,2010,
Don't Stop The Music,Rihanna,https://www.deezer.com/track/925108,2007,
Popular (From The Idol Vol. 1 Music from the HBO Original Series),The Weeknd,https://www.deezer.com/track/2321977215,2023,
Party Rock Anthem,LMFAO,https://www.deezer.com/track/12660659,2011,
São Paulo,The Weeknd,https://www.deezer.com/track/3210598411,2024,
Party In The U.S.A.,Miley Cyrus,https://www.deezer.com/track/24957851,2009,
Good Feeling,Flo Rida,https://www.deezer.com/track/13671892,2011,
NIGHTS LIKE THIS,The Kid LAROI,https://www.deezer.com/track/2531475911,2023,
Hate It Or Love It,The Game,https://www.deezer.com/track/4586924,2005,
i like the way you kiss me,Artemas,https://www.deezer.com/track/2706736172,2024,
Summer,Calvin Harris,https://www.deezer.com/track/88936747,2014,
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,https://www.deezer.com/track/61424045,2012,
Lady Killers II,G-Eazy,https://www.deezer.com/track/2733113521,2022,
Right Round,Flo Rida,https://www.deezer.com/track/4162078,2009,
Rock Your Body,Justin Timberlake,https://www.deezer.com/track/970410,2002,
Paper Planes,M.I.A.,https://www.deezer.com/track/943376,2007,
Adventure of a Lifetime,Coldplay,https://www.deezer.com/track/111482314,2015,
Telephone,Lady Gaga,https://www.deezer.com/track/734508702,2009,
Scatman (ski-ba-bop-ba-dop-bop),Scatman John,https://www.deezer.com/track/99360002,1995,
Unbelievable,EMF,https://www.deezer.com/track/6812049,1988,
Right Here Right Now,Jesus Jones,https://www.deezer.com/track/17384948,1990,
Hard To Handle,The Black Crowes,https://www.deezer.com/track/65707239,1990,
Tubthumping,Chumbawamba,https://www.deezer.com/track/3137092,1997,
Ice Ice Baby,Vanilla Ice,https://www.deezer.com/track/3366332,1992,
Groove Is in the Heart,Deee-Lite,https://www.deezer.com/track/75070408,1990,
Have You Ever Seen The Rain,Creedence Clearwater Revival,https://www.deezer.com/track/883644,1970,
Dreams,Fleetwood Mac,https://www.deezer.com/track/664450,1977,
Dancing Queen,ABBA,https://www.deezer.com/track/884025,1977,
September,"Earth, Wind & Fire",https://www.deezer.com/track/13161111,1989,
Ain't No Sunshine,Bill Withers,https://www.deezer.com/track/2312047,1971,
Mr. Blue Sky,Electric Light Orchestra,https://www.deezer.com/track/112662184,1977,
Don't Stop Me Now,Queen,https://www.deezer.com/track/1045832272,1985,
Piano Man,Billy Joel,https://www.deezer.com/track/14875977,1973,
How Deep Is Your Love,Bee Gees,https://www.deezer.com/track/350027751,1977,
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,https://www.deezer.com/track/884041,1979,
Dust in the Wind,Kansas,https://www.deezer.com/track/855863,1978,
Rich Girl,Daryl Hall & John Oates,https://www.deezer.com/track/566101,1976,
Sister Golden Hair,America,https://www.deezer.com/track/719631,1975,
Vienna,Billy Joel,https://www.deezer.com/track/968746,1977,
American Pie,Don McLean,https://www.deezer.com/track/3156285,1971,
Jolene,Dolly Parton,https://www.deezer.com/track/600346,1973,
Knockin' On Heaven's Door,Bob Dylan,https://www.deezer.com/track/75768727,1976,
Kids,MGMT,https://www.deezer.com/track/536485,2005,
Shut Up and Dance,WALK THE MOON,https://www.deezer.com/track/90326361,2014,
Poker Face,Lady Gaga,https://www.deezer.com/track/734508762,2008,
Lay All Your Love On Me,ABBA,https://www.deezer.com/track/76376863,1980,
I Want You Back,Jackson 5,https://www.deezer.com/track/4188287,1969,
"Hey, Soul Sister",Train,https://www.deezer.com/track/563683852,2009,
Blurred Lines,Robin Thicke,https://www.deezer.com/track/65444691,2013,
Pocketful of Sunshine,Natasha Bedingfield,https://www.deezer.com/track/15590338,2008,
Teenage Dream,Katy Perry,https://www.deezer.com/track/17135108,2010,
Pompeii,Bastille,https://www.deezer.com/track/63034985,2012,
Take Me Out,Franz Ferdinand,https://www.deezer.com/track/4315684,2003,
Hey Ya!,OutKast,https://www.deezer.com/track/628266,2003,
Say It Right,Nelly Furtado,https://www.deezer.com/track/2430344,2006,
I'm So Excited,The Pointer Sisters,https://www.deezer.com/track/346967941,1984,
Bitter Sweet Symphony,The Verve,https://www.deezer.com/track/432946922,1997,
X Gon' Give It To Ya,DMX,https://www.deezer.com/track/2251072,2002,
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",A$AP Rocky,https://www.deezer.com/track/623422582,2012,
Can I Kick It?,A Tribe Called Quest,https://www.deezer.com/track/873321,1990,
The Message,Nas,https://www.deezer.com/track/1015329,1996,
Ruff Ryders' Anthem,DMX,https://www.deezer.com/track/1124454,1998,
In Da Club,50 Cent,https://www.deezer.com/track/1141668,2003,
Break Ya Neck,Busta Rhymes,https://www.deezer.com/track/962206,2001,
If I Ruled the World (Imagine That) (feat. Lauryn Hill),Nas,https://www.deezer.com/track/1015332,1996,
Never Gonna Give You Up,Rick Astley,https://www.deezer.com/track/781592622,1988,
Call on Me (Radio Mix),Eric Prydz,https://www.deezer.com/track/144203048,2004,
Disturbia,Rihanna,https://www.deezer.com/track/925118,2008,
Anxiety,Doechii,https://www.deezer.com/track/3262675101,2020,
Wannabe,Spice Girls,https://www.deezer.com/track/3133738,1996,
Halo,Beyoncé,https://www.deezer.com/track/2553265,2008,
Dance Monkey,Tones And I,https://www.deezer.com/track/739870792,2019,
Flowers,Miley Cyrus,https://www.deezer.com/track/2105158337,2023,
Say My Name,Destiny's Child,https://www.deezer.com/track/580936,2000,
...Baby One More Time,Britney Spears,https://www.deezer.com/track/540175,1998,
Man! I Feel Like A Woman!,Shania Twain,https://www.deezer.com/track/2300173,1998,
Fallin',Alicia Keys,https://www.deezer.com/track/12343214,2001,
You're The One That I Want (From “Grease”),John Travolta,https://www.deezer.com/track/781563062,1978,
Don't Go Breaking My Heart,Elton John,https://www.deezer.com/track/1162676,1976,
Someone Like You,Adele,https://www.deezer.com/track/8086136,2010,
Killing Me Softly With His Song,Fugees,https://www.deezer.com/track/15528008,1996,
Stand By Me,Ben E. King,https://www.deezer.com/track/136710424,1961,
Complicated,Avril Lavigne,https://www.deezer.com/track/15587465,2002,
Despacito,Luis Fonsi,https://www.deezer.com/track/143783500,2017,
Señorita,Shawn Mendes,https://www.deezer.com/track/698905582,2019,
I Will Always Love You,Whitney Houston,https://www.deezer.com/track/2244121,1992,
It Wasn't Me,Shaggy,https://www.deezer.com/track/102354140,2000,
No Scrubs,TLC,https://www.deezer.com/track/1075781,1999,
Uptown Funk (feat. Bruno Mars),Mark Ronson,https://www.deezer.com/track/92734438,2014,
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground) (Single),Shakira,https://www.deezer.com/track/6048740,2010,
Family Affair,Mary J. Blige,https://www.deezer.com/track/1161679,2000,
Like a Virgin,Madonna,https://www.deezer.com/track/4209635,1984,
Zombie,The Cranberries,https://www.deezer.com/track/5652656,1994,
Everybody Hurts,R.E.M.,https://www.deezer.com/track/121921372,1993,
Respect,Aretha Franklin,https://www.deezer.com/track/904732,1967,
Last Nite,The Strokes,https://www.deezer.com/track/958109,2000,
Toxicity,System of A Down,https://www.deezer.com/track/15523793,2001,
Use Somebody,Kings Of Leon,https://www.deezer.com/track/2924841,2008,
Radioactive,Imagine Dragons,https://www.deezer.com/track/63510358,2012,
All The Small Things,blink-182,https://www.deezer.com/track/1137237,1999,
I Want Candy,Bow Wow Wow,https://www.deezer.com/track/900670,1982,
"You Spin Me Round (Like A Record) (Original 7"" Mix)",Dead Or Alive,https://www.deezer.com/track/958021,1984,
Somebody's Watching Me,Rockwell,https://www.deezer.com/track/1169216,1983,
Electric Avenue,Eddy Grant,https://www.deezer.com/track/914026,1982,
Turning Japanese,The Vapors,https://www.deezer.com/track/3144076,1980,
Funky Town,Pseudo Echo,https://www.deezer.com/track/605927,1986,
Break My Stride,Matthew Wilder,https://www.deezer.com/track/5503498,1983,
Video Killed The Radio Star,The Buggles,https://www.deezer.com/track/907751,1979,
Jump Around (LP Version),House Of Pain,https://www.deezer.com/track/685982,2010,
MMMBop,Hanson,https://www.deezer.com/track/2234287,1997,
Walking in Memphis,Marc Cohn,https://www.deezer.com/track/675175,1991,
Brandy (You're a Fine Girl),Looking Glass,https://www.deezer.com/track/82463596,1972,
Copacabana (At the Copa),Barry Manilow,https://www.deezer.com/track/565312,1978,
Mandy,Barry Manilow,https://www.deezer.com/track/548250,1974,
Africa,Toto,https://www.deezer.com/track/1079668,1982,
Rosanna,Toto,https://www.deezer.com/track/1079628,1982,
Georgy Porgy,Toto,https://www.deezer.com/track/1081145,1978,
Boombastic,Shaggy,https://www.deezer.com/track/73323486,1994,
Down Under,Men At Work,https://www.deezer.com/track/1030221,1980,
Kiss,Prince,https://www.deezer.com/track/664178,1986,
Don't Stop 'Til You Get Enough,Michael Jackson,https://www.deezer.com/track/15586296,1979,
Thriller,Michael Jackson,https://www.deezer.com/track/555639,1982,
Wake Me Up Before You Go-Go,Wham!,https://www.deezer.com/track/15194531,1991,
"Fastlove, Pt. 2",George Michael,https://www.deezer.com/track/1837586957,2022,
Careless Whisper,George Michael,https://www.deezer.com/track/14525086,1984,
Don't Let the Sun Go Down on Me,George Michael,https://www.deezer.com/track/10392073,1991,
Kiss from a Rose,Seal,https://www.deezer.com/track/730428,1994,
Fields Of Gold,Sting,https://www.deezer.com/track/2525867,1993,
Shape Of My Heart,Sting,https://www.deezer.com/track/530979521,1993,
Message In A Bottle,The Police,https://www.deezer.com/track/2525861,1979,
Don't You Want Me,The Human League,https://www.deezer.com/track/3092940,1982,
No Diggity,Blackstreet,https://www.deezer.com/track/916496,1997,
Can't Get You out of My Head,Kylie Minogue,https://www.deezer.com/track/3138703,2001,
Call Me,Blondie,https://www.deezer.com/track/3121749,1988,
Time After Time,Cyndi Lauper,https://www.deezer.com/track/72194073,1984,
Tweaker,GELO,https://www.deezer.com/track/3181689671,2025,
Can You Please,GELO,https://www.deezer.com/track/3262664761,2025,
Billie Jean,Michael Jackson,https://www.deezer.com/track/831313,1983,
Over,Drake,https://www.deezer.com/track/6297745,2009,
Swimming Pools (Drank),Kendrick Lamar,https://www.deezer.com/track/52735971,2012,
Can't Hold Us (feat. Ray Dalton),Macklemore,https://www.deezer.com/track/61424044,2011,
Hot N*gga,Bobby Shmurda,https://www.deezer.com/track/81924820,2015,
XO Tour Llif3,Lil Uzi Vert,https://www.deezer.com/track/144949268,2017,
We Dem Boyz,Wiz Khalifa,https://www.deezer.com/track/74732242,2014,
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,https://www.deezer.com/track/375689861,2017,
Congratulations,Post Malone,https://www.deezer.com/track/137726987,2016,
No Type,Rae Sremmurd,https://www.deezer.com/track/92871300,2014,
Not Afraid,Eminem,https://www.deezer.com/track/6461432,2010,
"Me, Myself & I",G-Eazy,https://www.deezer.com/track/114395812,2015,
SICKO MODE,Travis Scott,https://www.deezer.com/track/536421002,2018,
Ric Flair Drip (with Metro Boomin),Offset,https://www.deezer.com/track/423097622,2017,
Airplanes (feat. Hayley Williams of Paramore),B.o.B,https://www.deezer.com/track/5979887,2010,
Freestyle,Lil Baby,https://www.deezer.com/track/434713132,2017,
Lucid Dreams,Juice WRLD,https://www.deezer.com/track/601837422,2017,
ZEZE (feat. Travis Scott & Offset),Kodak Black,https://www.deezer.com/track/566492922,2018,
Rap God,Eminem,https://www.deezer.com/track/72160314,2013,
I Like It,Cardi B,https://www.deezer.com/track/482986842,2018,
Broccoli (feat. Lil Yachty),Shelley FKA DRAM,https://www.deezer.com/track/131611536,2016,
Walk It Talk It,Migos,https://www.deezer.com/track/453844292,2018,
She Will,Lil Wayne,https://www.deezer.com/track/1470212372,2011,
Panda,Desiigner,https://www.deezer.com/track/120026876,2015,
See You Again (feat. Charlie Puth),Wiz Khalifa,https://www.deezer.com/track/95813354,2015,
Bandz A Make Her Dance (feat. Lil' Wayne & 2 Chainz),Juicy J,https://www.deezer.com/track/69686461,2012,
Mask Off,Future,https://www.deezer.com/track/142337683,2017,
Bad and Boujee (feat. Lil Uzi Vert),Migos,https://www.deezer.com/track/136297488,2016,
No Role Modelz,J. Cole,https://www.deezer.com/track/90563091,2014,
Taste,Tyga,https://www.deezer.com/track/500084792,2018,
"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,https://www.deezer.com/track/94961692,2015,
HUMBLE.,Kendrick Lamar,https://www.deezer.com/track/350171311,2017,
rockstar,Post Malone,https://www.deezer.com/track/491446942,2017,
All The Way Up,Fat Joe,https://www.deezer.com/track/120150030,2016,
Beautiful,Snoop Dogg,https://www.deezer.com/track/139103331,1999,
U Can't Touch This,MC Hammer,https://www.deezer.com/track/3136389,1990,
Don't Cha,The Pussycat Dolls,https://www.deezer.com/track/3729963,2005,
Shoop,Salt-N-Pepa,https://www.deezer.com/track/537989562,1993,
Doo Wop (That Thing),Lauryn Hill,https://www.deezer.com/track/15586242,1998,
It Was A Good Day,Ice Cube,https://www.deezer.com/track/3102199,1992,
Yeah! (feat. Lil Jon & Ludacris),USHER,https://www.deezer.com/track/13783449,2004,
Crazy,Gnarls Barkley,https://www.deezer.com/track/2752209141,2006,
Eye of the Tiger,Survivor,https://www.deezer.com/track/963098,1982,
Blinding Lights,The Weeknd,https://www.deezer.com/track/908604612,2019,
Bring Me To Life,Evanescence,https://www.deezer.com/track/80274512,2003,
Godzilla,Eminem,https://www.deezer.com/track/854914322,2020,
You Give Love A Bad Name,Bon Jovi,https://www.deezer.com/track/577487242,1987,
Otherside,Red Hot Chili Peppers,https://www.deezer.com/track/725261,1999,
Many Men (Wish Death),50 Cent,https://www.deezer.com/track/589181762,2003,
Crank That (Soulja Boy),Soulja Boy Tell'em,https://www.deezer.com/track/909969,2007,
Till I Collapse,Eminem,https://www.deezer.com/track/916445,2002,
Stan,Eminem,https://www.deezer.com/track/1109730,2000,
Uptown Girl,Billy Joel,https://www.deezer.com/track/1025659,1983,
Maneater,Daryl Hall & John Oates,https://www.deezer.com/track/569561,1982,
Pink Pony Club,Chappell Roan,https://www.deezer.com/track/2454854845,2020,
"Good Luck, Babe!",Chappell Roan,https://www.deezer.com/track/2728070371,2024,
HOT TO GO!,Chappell Roan,https://www.deezer.com/track/2454854795,2023,
